"Blooket
Import Template",,,,,,,
20,"If flowers are NOT furious, then insects are lame.

What is the contrapositive?","If insects are NOT lame, then flowers are furious.","If flowers are furious, then insects are NOT lame.","If flowers are NOT furious, then insects are NOT lame.","If insects are lame, then flowers are NOT furious.",30,1
21,"If hawks are dangerous, then mice are NOT yellow.

What is the contrapositive?","If hawks are NOT dangerous, then mice are yellow.","If mice are NOT yellow, then hawks are NOT dangerous.","If mice are NOT yellow, then hawks are dangerous.","If mice are yellow, then hawks are NOT dangerous.",30,4
22,"If flowers are green, then umbrellas are sly.

What is the converse?","If umbrellas are sly, then flowers are green.","If flowers are green, then umbrellas are NOT sly.","If flowers are NOT green, then umbrellas are NOT sly.","If umbrellas are NOT sly, then flowers are NOT green.",30,1
23,"If mice are dangerous, then bugs are NOT curious.

What is the inverse?","If mice are NOT dangerous, then bugs are NOT curious.","If bugs are NOT curious, then mice are dangerous.","If bugs are curious, then mice are NOT dangerous.","If mice are NOT dangerous, then bugs are curious.",30,4
24,"If quokkas are weak, then dogs are jealous.

What is the inverse?","If dogs are NOT jealous, then quokkas are NOT weak.","If quokkas are NOT weak, then dogs are NOT jealous.","If dogs are jealous, then quokkas are weak.","If dogs are jealous, then quokkas are NOT weak.",30,2
25,"If llamas are indigo, then hawks are happy.

What is the inverse?","If hawks are NOT happy, then llamas are NOT indigo.","If hawks are happy, then llamas are indigo.","If llamas are NOT indigo, then hawks are NOT happy.","If hawks are NOT happy, then llamas are indigo.",30,3
26,"If umbrellas are blue, then kangaroos are queens.

What is the contrapositive?","If umbrellas are NOT blue, then kangaroos are NOT queens.","If kangaroos are queens, then umbrellas are blue.","If kangaroos are NOT queens, then umbrellas are NOT blue.","If umbrellas are NOT blue, then kangaroos are queens.",30,3
27,"If violins are NOT jealous, then umbrellas are pious.

What is the inverse?","If umbrellas are NOT pious, then violins are jealous.","If violins are jealous, then umbrellas are pious.","If violins are jealous, then umbrellas are NOT pious.","If umbrellas are pious, then violins are NOT jealous.",30,3
28,"If whales are queens, then dogs are indigo.

What is the inverse?","If whales are NOT queens, then dogs are NOT indigo.","If whales are queens, then dogs are NOT indigo.","If dogs are NOT indigo, then whales are NOT queens.","If dogs are indigo, then whales are queens.",30,1
29,"If elephants are green, then tulips are NOT awesome.

What is the converse?","If elephants are NOT green, then tulips are awesome.","If tulips are NOT awesome, then elephants are green.","If elephants are green, then tulips are awesome.","If tulips are awesome, then elephants are NOT green.",30,2
30,"If quokkas are indigo, then bugs are red.

What is the contrapositive?","If quokkas are NOT indigo, then bugs are NOT red.","If bugs are NOT red, then quokkas are NOT indigo.","If quokkas are indigo, then bugs are NOT red.","If bugs are red, then quokkas are indigo.",30,2
31,"If apples are NOT queens, then elephants are NOT jealous.

What is the contrapositive?","If elephants are jealous, then apples are queens.","If elephants are NOT jealous, then apples are NOT queens.","If apples are queens, then elephants are jealous.","If elephants are NOT jealous, then apples are queens.",30,1
32,"If giraffes are NOT curious, then cats are pious.

What is the inverse?","If giraffes are curious, then cats are NOT pious.","If cats are NOT pious, then giraffes are curious.","If cats are pious, then giraffes are NOT curious.","If cats are pious, then giraffes are curious.",30,1
33,"If tulips are furious, then flowers are NOT outgoing.

What is the inverse?","If flowers are outgoing, then tulips are NOT furious.","If flowers are NOT outgoing, then tulips are furious.","If tulips are furious, then flowers are outgoing.","If tulips are NOT furious, then flowers are outgoing.",30,4
34,"If tulips are dangerous, then flowers are weak.

What is the contrapositive?","If tulips are NOT dangerous, then flowers are weak.","If tulips are NOT dangerous, then flowers are NOT weak.","If flowers are NOT weak, then tulips are NOT dangerous.","If flowers are weak, then tulips are dangerous.",30,3
35,"If whales are furious, then kangaroos are NOT jealous.

What is the inverse?","If kangaroos are NOT jealous, then whales are furious.","If kangaroos are jealous, then whales are furious.","If whales are NOT furious, then kangaroos are jealous.","If kangaroos are jealous, then whales are NOT furious.",30,3
36,"If insects are curious, then llamas are sly.

What is the inverse?","If insects are NOT curious, then llamas are NOT sly.","If llamas are sly, then insects are curious.","If llamas are NOT sly, then insects are NOT curious.","If llamas are NOT sly, then insects are curious.",30,1
37,"If ponies are menacing, then whales are jealous.

What is the converse?","If ponies are NOT menacing, then whales are NOT jealous.","If whales are NOT jealous, then ponies are menacing.","If whales are jealous, then ponies are menacing.","If whales are NOT jealous, then ponies are NOT menacing.",30,3
38,"If apples are red, then jaguars are NOT lame.

What is the inverse?","If apples are red, then jaguars are lame.","If jaguars are lame, then apples are NOT red.","If jaguars are NOT lame, then apples are red.","If apples are NOT red, then jaguars are lame.",30,4
39,"If mice are NOT killers, then llamas are happy.

What is the contrapositive?","If llamas are NOT happy, then mice are killers.","If llamas are happy, then mice are NOT killers.","If mice are killers, then llamas are NOT happy.","If llamas are NOT happy, then mice are NOT killers.",30,1
40,"If tulips are nice, then flowers are NOT lame.

What is the converse?","If tulips are NOT nice, then flowers are lame.","If flowers are NOT lame, then tulips are nice.","If tulips are NOT nice, then flowers are NOT lame.","If flowers are lame, then tulips are NOT nice.",30,2
41,"If giraffes are umpires, then kangaroos are awesome.

What is the inverse?","If kangaroos are awesome, then giraffes are umpires.","If kangaroos are NOT awesome, then giraffes are NOT umpires.","If giraffes are NOT umpires, then kangaroos are awesome.","If giraffes are NOT umpires, then kangaroos are NOT awesome.",30,4
42,"If giraffes are NOT outgoing, then llamas are NOT blue.

What is the contrapositive?","If giraffes are outgoing, then llamas are blue.","If giraffes are NOT outgoing, then llamas are blue.","If llamas are blue, then giraffes are outgoing.","If llamas are NOT blue, then giraffes are NOT outgoing.",30,3
43,"If giraffes are umpires, then xylophones are NOT lame.

What is the inverse?","If xylophones are lame, then giraffes are NOT umpires.","If xylophones are NOT lame, then giraffes are umpires.","If giraffes are umpires, then xylophones are lame.","If giraffes are NOT umpires, then xylophones are lame.",30,4
44,"If elephants are violent, then cats are NOT zombies.

What is the contrapositive?","If cats are zombies, then elephants are NOT violent.","If elephants are NOT violent, then cats are zombies.","If elephants are violent, then cats are zombies.","If cats are NOT zombies, then elephants are violent.",30,1
45,"If umbrellas are lame, then cats are NOT yellow.

What is the contrapositive?","If cats are yellow, then umbrellas are NOT lame.","If cats are NOT yellow, then umbrellas are lame.","If umbrellas are NOT lame, then cats are NOT yellow.","If umbrellas are NOT lame, then cats are yellow.",30,1
46,"If whales are dangerous, then insects are killers.

What is the contrapositive?","If whales are NOT dangerous, then insects are killers.","If insects are killers, then whales are dangerous.","If insects are NOT killers, then whales are NOT dangerous.","If whales are NOT dangerous, then insects are NOT killers.",30,3
47,"If quokkas are NOT nice, then whales are sly.

What is the contrapositive?","If quokkas are NOT nice, then whales are NOT sly.","If whales are sly, then quokkas are NOT nice.","If whales are NOT sly, then quokkas are nice.","If quokkas are nice, then whales are NOT sly.",30,3
48,"If hawks are sly, then xylophones are green.

What is the inverse?","If xylophones are NOT green, then hawks are NOT sly.","If hawks are NOT sly, then xylophones are NOT green.","If xylophones are green, then hawks are sly.","If hawks are NOT sly, then xylophones are green.",30,2
49,"If llamas are happy, then xylophones are violent.

What is the inverse?","If llamas are NOT happy, then xylophones are NOT violent.","If xylophones are NOT violent, then llamas are NOT happy.","If llamas are NOT happy, then xylophones are violent.","If xylophones are violent, then llamas are happy.",30,1
50,"If elephants are NOT green, then mice are curious.

What is the converse?","If mice are NOT curious, then elephants are green.","If elephants are green, then mice are NOT curious.","If mice are curious, then elephants are NOT green.","If mice are NOT curious, then elephants are NOT green.",30,3
51,"If whales are NOT violent, then elephants are NOT nice.

What is the contrapositive?","If whales are violent, then elephants are nice.","If elephants are NOT nice, then whales are NOT violent.","If elephants are nice, then whales are violent.","If whales are NOT violent, then elephants are nice.",30,3
52,"If violins are NOT furious, then narwhals are NOT happy.

What is the converse?","If narwhals are NOT happy, then violins are furious.","If narwhals are happy, then violins are furious.","If narwhals are NOT happy, then violins are NOT furious.","If violins are furious, then narwhals are happy.",30,3
53,"If giraffes are violent, then jaguars are queens.

What is the converse?","If jaguars are NOT queens, then giraffes are violent.","If jaguars are NOT queens, then giraffes are NOT violent.","If giraffes are NOT violent, then jaguars are NOT queens.","If jaguars are queens, then giraffes are violent.",30,4
54,"If mice are pious, then owls are NOT sly.

What is the converse?","If owls are sly, then mice are NOT pious.","If mice are NOT pious, then owls are NOT sly.","If mice are NOT pious, then owls are sly.","If owls are NOT sly, then mice are pious.",30,4
55,"If llamas are NOT green, then owls are NOT awesome.

What is the contrapositive?","If owls are NOT awesome, then llamas are NOT green.","If llamas are green, then owls are awesome.","If owls are awesome, then llamas are green.","If llamas are green, then owls are NOT awesome.",30,3
56,"If hawks are awesome, then tulips are NOT menacing.

What is the contrapositive?","If tulips are menacing, then hawks are awesome.","If tulips are menacing, then hawks are NOT awesome.","If hawks are NOT awesome, then tulips are menacing.","If tulips are NOT menacing, then hawks are awesome.",30,2
57,"If giraffes are NOT happy, then zebras are weak.

What is the contrapositive?","If zebras are NOT weak, then giraffes are happy.","If giraffes are happy, then zebras are NOT weak.","If zebras are NOT weak, then giraffes are NOT happy.","If zebras are weak, then giraffes are NOT happy.",30,1
58,"If giraffes are dangerous, then cats are happy.

What is the inverse?","If giraffes are NOT dangerous, then cats are NOT happy.","If cats are NOT happy, then giraffes are dangerous.","If cats are NOT happy, then giraffes are NOT dangerous.","If cats are happy, then giraffes are dangerous.",30,1
59,"If xylophones are NOT lame, then tulips are violent.

What is the contrapositive?","If xylophones are lame, then tulips are violent.","If tulips are NOT violent, then xylophones are lame.","If xylophones are lame, then tulips are NOT violent.","If tulips are violent, then xylophones are NOT lame.",30,2
60,"If flowers are happy, then dogs are NOT sly.

What is the converse?","If dogs are NOT sly, then flowers are NOT happy.","If flowers are NOT happy, then dogs are sly.","If dogs are NOT sly, then flowers are happy.","If dogs are sly, then flowers are NOT happy.",30,3
61,"If apples are NOT curious, then llamas are NOT jealous.

What is the contrapositive?","If llamas are jealous, then apples are curious.","If apples are curious, then llamas are NOT jealous.","If llamas are NOT jealous, then apples are NOT curious.","If apples are curious, then llamas are jealous.",30,1
62,"If violins are NOT menacing, then umbrellas are violent.

What is the contrapositive?","If violins are menacing, then umbrellas are NOT violent.","If umbrellas are NOT violent, then violins are menacing.","If umbrellas are NOT violent, then violins are NOT menacing.","If umbrellas are violent, then violins are NOT menacing.",30,2
63,"If apples are NOT curious, then xylophones are NOT pious.

What is the inverse?","If xylophones are pious, then apples are curious.","If xylophones are NOT pious, then apples are curious.","If xylophones are NOT pious, then apples are NOT curious.","If apples are curious, then xylophones are pious.",30,4
64,"If dogs are NOT weak, then cats are NOT happy.

What is the inverse?","If cats are NOT happy, then dogs are NOT weak.","If cats are happy, then dogs are weak.","If cats are happy, then dogs are NOT weak.","If dogs are weak, then cats are happy.",30,4
65,"If insects are NOT blue, then hawks are menacing.

What is the converse?","If hawks are NOT menacing, then insects are blue.","If hawks are menacing, then insects are blue.","If hawks are menacing, then insects are NOT blue.","If insects are blue, then hawks are NOT menacing.",30,3
66,"If xylophones are violent, then giraffes are NOT zombies.

What is the converse?","If giraffes are NOT zombies, then xylophones are violent.","If xylophones are NOT violent, then giraffes are NOT zombies.","If giraffes are zombies, then xylophones are NOT violent.","If xylophones are NOT violent, then giraffes are zombies.",30,1
67,"If narwhals are curious, then kangaroos are red.

What is the inverse?","If narwhals are NOT curious, then kangaroos are NOT red.","If kangaroos are NOT red, then narwhals are NOT curious.","If narwhals are curious, then kangaroos are NOT red.","If kangaroos are red, then narwhals are curious.",30,1
68,"If zebras are NOT menacing, then umbrellas are queens.

What is the converse?","If umbrellas are queens, then zebras are NOT menacing.","If umbrellas are NOT queens, then zebras are NOT menacing.","If zebras are menacing, then umbrellas are NOT queens.","If umbrellas are NOT queens, then zebras are menacing.",30,1
69,"If ponies are xenophobic, then snakes are NOT yellow.

What is the inverse?","If snakes are NOT yellow, then ponies are xenophobic.","If ponies are xenophobic, then snakes are yellow.","If ponies are NOT xenophobic, then snakes are yellow.","If snakes are yellow, then ponies are NOT xenophobic.",30,3
70,"If llamas are NOT lame, then umbrellas are sly.

What is the converse?","If llamas are lame, then umbrellas are NOT sly.","If umbrellas are sly, then llamas are NOT lame.","If umbrellas are NOT sly, then llamas are lame.","If umbrellas are NOT sly, then llamas are NOT lame.",30,2
71,"If insects are lame, then hawks are sly.

What is the converse?","If hawks are sly, then insects are NOT lame.","If insects are NOT lame, then hawks are NOT sly.","If hawks are sly, then insects are lame.","If hawks are NOT sly, then insects are NOT lame.",30,3
72,"If whales are blue, then kangaroos are NOT lame.

What is the inverse?","If whales are NOT blue, then kangaroos are lame.","If kangaroos are NOT lame, then whales are blue.","If whales are blue, then kangaroos are lame.","If kangaroos are lame, then whales are NOT blue.",30,1
73,"If flowers are NOT umpires, then cats are NOT sly.

What is the converse?","If cats are NOT sly, then flowers are NOT umpires.","If flowers are umpires, then cats are sly.","If flowers are NOT umpires, then cats are sly.","If cats are sly, then flowers are umpires.",30,1
74,"If snakes are killers, then flowers are nice.

What is the inverse?","If snakes are killers, then flowers are NOT nice.","If snakes are NOT killers, then flowers are NOT nice.","If flowers are nice, then snakes are killers.","If flowers are NOT nice, then snakes are NOT killers.",30,2
75,"If kangaroos are indigo, then giraffes are NOT blue.

What is the inverse?","If giraffes are blue, then kangaroos are NOT indigo.","If kangaroos are NOT indigo, then giraffes are blue.","If giraffes are NOT blue, then kangaroos are NOT indigo.","If giraffes are NOT blue, then kangaroos are indigo.",30,2
76,"If bugs are NOT umpires, then tulips are enigmatic.

What is the inverse?","If tulips are NOT enigmatic, then bugs are NOT umpires.","If bugs are umpires, then tulips are NOT enigmatic.","If tulips are NOT enigmatic, then bugs are umpires.","If tulips are enigmatic, then bugs are NOT umpires.",30,2
77,"If elephants are blue, then dogs are NOT transient.

What is the converse?","If dogs are NOT transient, then elephants are blue.","If dogs are transient, then elephants are NOT blue.","If dogs are NOT transient, then elephants are NOT blue.","If elephants are NOT blue, then dogs are transient.",30,1
78,"If insects are zombies, then narwhals are awesome.

What is the contrapositive?","If narwhals are NOT awesome, then insects are NOT zombies.","If insects are NOT zombies, then narwhals are NOT awesome.","If insects are NOT zombies, then narwhals are awesome.","If narwhals are awesome, then insects are zombies.",30,1
79,"If whales are xenophobic, then dogs are killers.

What is the contrapositive?","If dogs are NOT killers, then whales are NOT xenophobic.","If dogs are killers, then whales are NOT xenophobic.","If whales are NOT xenophobic, then dogs are NOT killers.","If dogs are killers, then whales are xenophobic.",30,1
80,"If bugs are blue, then owls are outgoing.

What is the contrapositive?","If owls are NOT outgoing, then bugs are NOT blue.","If owls are outgoing, then bugs are NOT blue.","If bugs are NOT blue, then owls are NOT outgoing.","If owls are outgoing, then bugs are blue.",30,1
81,"If insects are NOT xenophobic, then owls are NOT violent.

What is the converse?","If insects are xenophobic, then owls are NOT violent.","If insects are xenophobic, then owls are violent.","If owls are NOT violent, then insects are NOT xenophobic.","If owls are violent, then insects are xenophobic.",30,3
82,"If apples are enigmatic, then llamas are curious.

What is the converse?","If apples are NOT enigmatic, then llamas are NOT curious.","If apples are enigmatic, then llamas are NOT curious.","If llamas are NOT curious, then apples are NOT enigmatic.","If llamas are curious, then apples are enigmatic.",30,4
83,"If kangaroos are pious, then insects are curious.

What is the converse?","If insects are curious, then kangaroos are pious.","If insects are NOT curious, then kangaroos are NOT pious.","If kangaroos are pious, then insects are NOT curious.","If kangaroos are NOT pious, then insects are NOT curious.",30,1
84,"If llamas are indigo, then xylophones are umpires.

What is the contrapositive?","If xylophones are NOT umpires, then llamas are NOT indigo.","If llamas are NOT indigo, then xylophones are NOT umpires.","If xylophones are umpires, then llamas are indigo.","If xylophones are NOT umpires, then llamas are indigo.",30,1
85,"If kangaroos are NOT yellow, then elephants are menacing.

What is the inverse?","If elephants are NOT menacing, then kangaroos are NOT yellow.","If elephants are menacing, then kangaroos are NOT yellow.","If elephants are NOT menacing, then kangaroos are yellow.","If kangaroos are yellow, then elephants are NOT menacing.",30,4
86,"If elephants are NOT weak, then jaguars are nice.

What is the converse?","If jaguars are nice, then elephants are weak.","If elephants are weak, then jaguars are NOT nice.","If jaguars are nice, then elephants are NOT weak.","If jaguars are NOT nice, then elephants are weak.",30,3
87,"If zebras are violent, then dogs are NOT blue.

What is the contrapositive?","If dogs are blue, then zebras are violent.","If dogs are NOT blue, then zebras are violent.","If dogs are blue, then zebras are NOT violent.","If zebras are NOT violent, then dogs are blue.",30,3
88,"If cats are lame, then whales are indigo.

What is the inverse?","If whales are indigo, then cats are NOT lame.","If whales are NOT indigo, then cats are NOT lame.","If whales are indigo, then cats are lame.","If cats are NOT lame, then whales are NOT indigo.",30,4
89,"If cats are red, then jaguars are awesome.

What is the converse?","If cats are NOT red, then jaguars are NOT awesome.","If jaguars are awesome, then cats are red.","If cats are NOT red, then jaguars are awesome.","If jaguars are NOT awesome, then cats are NOT red.",30,2
90,"If giraffes are pious, then owls are jealous.

What is the converse?","If owls are jealous, then giraffes are pious.","If giraffes are pious, then owls are NOT jealous.","If owls are NOT jealous, then giraffes are NOT pious.","If giraffes are NOT pious, then owls are NOT jealous.",30,1
91,"If owls are dangerous, then umbrellas are NOT xenophobic.

What is the converse?","If umbrellas are xenophobic, then owls are NOT dangerous.","If umbrellas are NOT xenophobic, then owls are dangerous.","If owls are NOT dangerous, then umbrellas are NOT xenophobic.","If owls are NOT dangerous, then umbrellas are xenophobic.",30,2
92,"If whales are zombies, then kangaroos are NOT umpires.

What is the contrapositive?","If kangaroos are NOT umpires, then whales are zombies.","If whales are zombies, then kangaroos are umpires.","If whales are NOT zombies, then kangaroos are umpires.","If kangaroos are umpires, then whales are NOT zombies.",30,4
93,"If cats are transient, then dogs are jealous.

What is the contrapositive?","If cats are NOT transient, then dogs are NOT jealous.","If dogs are jealous, then cats are transient.","If dogs are NOT jealous, then cats are NOT transient.","If cats are NOT transient, then dogs are jealous.",30,3
94,"If apples are menacing, then cats are pious.

What is the inverse?","If apples are NOT menacing, then cats are NOT pious.","If cats are pious, then apples are menacing.","If cats are pious, then apples are NOT menacing.","If cats are NOT pious, then apples are NOT menacing.",30,1
95,"If snakes are blue, then hawks are NOT weak.

What is the inverse?","If hawks are weak, then snakes are NOT blue.","If snakes are NOT blue, then hawks are weak.","If hawks are NOT weak, then snakes are blue.","If hawks are NOT weak, then snakes are NOT blue.",30,2
96,"If flowers are NOT xenophobic, then snakes are jealous.

What is the inverse?","If snakes are NOT jealous, then flowers are xenophobic.","If snakes are jealous, then flowers are NOT xenophobic.","If snakes are jealous, then flowers are xenophobic.","If flowers are xenophobic, then snakes are NOT jealous.",30,4
97,"If ponies are menacing, then umbrellas are NOT furious.

What is the inverse?","If umbrellas are NOT furious, then ponies are menacing.","If ponies are NOT menacing, then umbrellas are furious.","If umbrellas are furious, then ponies are NOT menacing.","If ponies are NOT menacing, then umbrellas are NOT furious.",30,2
98,"If owls are enigmatic, then apples are violent.

What is the inverse?","If owls are NOT enigmatic, then apples are NOT violent.","If apples are NOT violent, then owls are NOT enigmatic.","If apples are violent, then owls are NOT enigmatic.","If apples are violent, then owls are enigmatic.",30,1
99,"If cats are xenophobic, then jaguars are NOT blue.

What is the converse?","If cats are NOT xenophobic, then jaguars are blue.","If jaguars are blue, then cats are NOT xenophobic.","If jaguars are NOT blue, then cats are xenophobic.","If cats are xenophobic, then jaguars are blue.",30,3
100,"If insects are NOT weak, then apples are transient.

What is the contrapositive?","If insects are weak, then apples are transient.","If insects are weak, then apples are NOT transient.","If apples are NOT transient, then insects are weak.","If apples are transient, then insects are NOT weak.",30,3
101,"If flowers are green, then snakes are NOT furious.

What is the converse?","If snakes are NOT furious, then flowers are green.","If flowers are NOT green, then snakes are furious.","If snakes are furious, then flowers are NOT green.","If snakes are NOT furious, then flowers are NOT green.",30,1
102,"If apples are killers, then flowers are NOT pious.

What is the inverse?","If apples are killers, then flowers are pious.","If flowers are NOT pious, then apples are killers.","If flowers are pious, then apples are NOT killers.","If apples are NOT killers, then flowers are pious.",30,4
103,"If hawks are zombies, then mice are dangerous.

What is the converse?","If mice are dangerous, then hawks are zombies.","If mice are dangerous, then hawks are NOT zombies.","If mice are NOT dangerous, then hawks are NOT zombies.","If hawks are NOT zombies, then mice are NOT dangerous.",30,1
104,"If cats are NOT indigo, then flowers are NOT menacing.

What is the converse?","If cats are indigo, then flowers are NOT menacing.","If flowers are NOT menacing, then cats are NOT indigo.","If cats are indigo, then flowers are menacing.","If flowers are menacing, then cats are indigo.",30,2
105,"If xylophones are NOT green, then llamas are jealous.

What is the converse?","If llamas are NOT jealous, then xylophones are green.","If xylophones are green, then llamas are NOT jealous.","If llamas are jealous, then xylophones are NOT green.","If xylophones are green, then llamas are jealous.",30,3
106,"If narwhals are zombies, then tulips are NOT umpires.

What is the inverse?","If narwhals are NOT zombies, then tulips are NOT umpires.","If tulips are NOT umpires, then narwhals are zombies.","If tulips are umpires, then narwhals are NOT zombies.","If narwhals are NOT zombies, then tulips are umpires.",30,4
107,"If quokkas are NOT queens, then flowers are violent.

What is the contrapositive?","If flowers are violent, then quokkas are NOT queens.","If flowers are NOT violent, then quokkas are queens.","If quokkas are queens, then flowers are violent.","If quokkas are queens, then flowers are NOT violent.",30,2
108,"If flowers are queens, then quokkas are indigo.

What is the inverse?","If flowers are NOT queens, then quokkas are NOT indigo.","If quokkas are indigo, then flowers are queens.","If quokkas are indigo, then flowers are NOT queens.","If quokkas are NOT indigo, then flowers are NOT queens.",30,1
109,"If zebras are NOT enigmatic, then kangaroos are queens.

What is the inverse?","If kangaroos are queens, then zebras are NOT enigmatic.","If zebras are enigmatic, then kangaroos are NOT queens.","If kangaroos are queens, then zebras are enigmatic.","If kangaroos are NOT queens, then zebras are enigmatic.",30,2
110,"If quokkas are weak, then dogs are enigmatic.

What is the contrapositive?","If dogs are enigmatic, then quokkas are weak.","If quokkas are NOT weak, then dogs are enigmatic.","If quokkas are NOT weak, then dogs are NOT enigmatic.","If dogs are NOT enigmatic, then quokkas are NOT weak.",30,4
111,"If umbrellas are xenophobic, then bugs are NOT pious.

What is the contrapositive?","If bugs are pious, then umbrellas are NOT xenophobic.","If umbrellas are NOT xenophobic, then bugs are pious.","If umbrellas are NOT xenophobic, then bugs are NOT pious.","If bugs are NOT pious, then umbrellas are xenophobic.",30,1
112,"If ponies are NOT zombies, then cats are pious.

What is the contrapositive?","If cats are pious, then ponies are NOT zombies.","If cats are NOT pious, then ponies are zombies.","If ponies are NOT zombies, then cats are NOT pious.","If ponies are zombies, then cats are NOT pious.",30,2
113,"If jaguars are menacing, then insects are NOT yellow.

What is the inverse?","If jaguars are NOT menacing, then insects are NOT yellow.","If jaguars are NOT menacing, then insects are yellow.","If insects are NOT yellow, then jaguars are menacing.","If insects are yellow, then jaguars are NOT menacing.",30,2
