"Blooket
Import Template",,,,,,,
68,'Negate the statement: Some jaguars are pious.',All jaguars are pious.,No jaguars are pious.,Some jaguars are not pious.,Some jaguars are pious.,30,2
69,'Negate the statement: No giraffes are yellow.',Some giraffes are yellow.,Some giraffes are not yellow.,No giraffes are yellow.,All giraffes are yellow.,30,1
70,'Negate the statement: All violins are weak.',All violins are weak.,Some violins are not weak.,No violins are weak.,Some violins are weak.,30,2
71,'Negate the statement: All narwhals are indigo.',No narwhals are indigo.,Some narwhals are indigo.,Some narwhals are not indigo.,All narwhals are indigo.,30,3
72,'Negate the statement: Some mice are outgoing.',All mice are outgoing.,Some mice are outgoing.,No mice are outgoing.,Some mice are not outgoing.,30,3
73,'Negate the statement: All quokkas are queens.',No quokkas are queens.,All quokkas are queens.,Some quokkas are queens.,Some quokkas are not queens.,30,4
74,'Negate the statement: No llamas are dangerous.',All llamas are dangerous.,Some llamas are not dangerous.,Some llamas are dangerous.,No llamas are dangerous.,30,3
75,'Negate the statement: All cats are sly.',All cats are sly.,Some cats are not sly.,Some cats are sly.,No cats are sly.,30,2
76,'Negate the statement: All elephants are happy.',No elephants are happy.,Some elephants are happy.,Some elephants are not happy.,All elephants are happy.,30,3
77,'Negate the statement: All cats are weak.',Some cats are not weak.,No cats are weak.,All cats are weak.,Some cats are weak.,30,1
78,'Negate the statement: All giraffes are violent.',No giraffes are violent.,Some giraffes are violent.,Some giraffes are not violent.,All giraffes are violent.,30,3
79,'Negate the statement: Some insects are not umpires.',Some insects are umpires.,Some insects are not umpires.,All insects are umpires.,No insects are umpires.,30,3
80,'Negate the statement: All hawks are killers.',Some hawks are not killers.,Some hawks are killers.,All hawks are killers.,No hawks are killers.,30,1
81,'Negate the statement: Some elephants are outgoing.',All elephants are outgoing.,Some elephants are outgoing.,No elephants are outgoing.,Some elephants are not outgoing.,30,3
82,'Negate the statement: All jaguars are red.',Some jaguars are not red.,No jaguars are red.,All jaguars are red.,Some jaguars are red.,30,1
83,'Negate the statement: All quokkas are weak.',Some quokkas are weak.,All quokkas are weak.,Some quokkas are not weak.,No quokkas are weak.,30,3
84,'Negate the statement: Some apples are not nice.',Some apples are nice.,Some apples are not nice.,All apples are nice.,No apples are nice.,30,3
85,'Negate the statement: Some insects are not happy.',Some insects are not happy.,No insects are happy.,Some insects are happy.,All insects are happy.,30,4
86,'Negate the statement: All cats are killers.',Some cats are not killers.,No cats are killers.,Some cats are killers.,All cats are killers.,30,1
87,'Negate the statement: All quokkas are yellow.',Some quokkas are not yellow.,Some quokkas are yellow.,All quokkas are yellow.,No quokkas are yellow.,30,1
88,'Negate the statement: All apples are menacing.',Some apples are not menacing.,No apples are menacing.,Some apples are menacing.,All apples are menacing.,30,1
89,'Negate the statement: Some hawks are dangerous.',All hawks are dangerous.,No hawks are dangerous.,Some hawks are not dangerous.,Some hawks are dangerous.,30,2
90,'Negate the statement: Some dogs are yellow.',All dogs are yellow.,Some dogs are yellow.,No dogs are yellow.,Some dogs are not yellow.,30,3
91,'Negate the statement: All apples are happy.',All apples are happy.,No apples are happy.,Some apples are not happy.,Some apples are happy.,30,3
92,'Negate the statement: Some llamas are not violent.',Some llamas are not violent.,All llamas are violent.,Some llamas are violent.,No llamas are violent.,30,2
93,'Negate the statement: Some apples are dangerous.',Some apples are dangerous.,No apples are dangerous.,All apples are dangerous.,Some apples are not dangerous.,30,2
94,'Negate the statement: Some owls are curious.',No owls are curious.,All owls are curious.,Some owls are curious.,Some owls are not curious.,30,1
95,'Negate the statement: Some quokkas are curious.',Some quokkas are curious.,Some quokkas are not curious.,All quokkas are curious.,No quokkas are curious.,30,4
96,'Negate the statement: Some quokkas are not furious.',No quokkas are furious.,Some quokkas are furious.,Some quokkas are not furious.,All quokkas are furious.,30,4
97,'Negate the statement: No zebras are outgoing.',Some zebras are not outgoing.,Some zebras are outgoing.,All zebras are outgoing.,No zebras are outgoing.,30,2
98,'Negate the statement: Some whales are not outgoing.',No whales are outgoing.,Some whales are not outgoing.,Some whales are outgoing.,All whales are outgoing.,30,4
99,'Negate the statement: No hawks are furious.',Some hawks are furious.,Some hawks are not furious.,All hawks are furious.,No hawks are furious.,30,1
100,'Negate the statement: No kangaroos are zombies.',Some kangaroos are not zombies.,No kangaroos are zombies.,All kangaroos are zombies.,Some kangaroos are zombies.,30,4
101,'Negate the statement: No apples are jealous.',Some apples are jealous.,Some apples are not jealous.,All apples are jealous.,No apples are jealous.,30,1
102,'Negate the statement: Some umbrellas are queens.',Some umbrellas are not queens.,All umbrellas are queens.,Some umbrellas are queens.,No umbrellas are queens.,30,4
103,'Negate the statement: All whales are enigmatic.',Some whales are not enigmatic.,All whales are enigmatic.,Some whales are enigmatic.,No whales are enigmatic.,30,1
104,'Negate the statement: Some flowers are green.',No flowers are green.,Some flowers are green.,All flowers are green.,Some flowers are not green.,30,1
105,'Negate the statement: All giraffes are menacing.',No giraffes are menacing.,Some giraffes are not menacing.,Some giraffes are menacing.,All giraffes are menacing.,30,2
106,'Negate the statement: No zebras are lame.',No zebras are lame.,All zebras are lame.,Some zebras are lame.,Some zebras are not lame.,30,3
107,'Negate the statement: Some mice are nice.',Some mice are not nice.,Some mice are nice.,All mice are nice.,No mice are nice.,30,4
108,'Negate the statement: Some dogs are furious.',No dogs are furious.,Some dogs are not furious.,All dogs are furious.,Some dogs are furious.,30,1
109,'Negate the statement: No kangaroos are red.',Some kangaroos are not red.,No kangaroos are red.,All kangaroos are red.,Some kangaroos are red.,30,4
110,'Negate the statement: Some dogs are not curious.',Some dogs are curious.,All dogs are curious.,Some dogs are not curious.,No dogs are curious.,30,2
111,'Negate the statement: All snakes are weak.',No snakes are weak.,Some snakes are weak.,Some snakes are not weak.,All snakes are weak.,30,3
112,'Negate the statement: All ponies are happy.',No ponies are happy.,Some ponies are happy.,Some ponies are not happy.,All ponies are happy.,30,3
113,'Negate the statement: No kangaroos are curious.',Some kangaroos are not curious.,No kangaroos are curious.,All kangaroos are curious.,Some kangaroos are curious.,30,4
114,'Negate the statement: Some umbrellas are not curious.',Some umbrellas are not curious.,No umbrellas are curious.,All umbrellas are curious.,Some umbrellas are curious.,30,3
115,'Negate the statement: Some cats are not umpires.',No cats are umpires.,Some cats are not umpires.,All cats are umpires.,Some cats are umpires.,30,3
116,'Negate the statement: No umbrellas are xenophobic.',Some umbrellas are xenophobic.,Some umbrellas are not xenophobic.,All umbrellas are xenophobic.,No umbrellas are xenophobic.,30,1
117,'Negate the statement: All elephants are queens.',All elephants are queens.,Some elephants are not queens.,Some elephants are queens.,No elephants are queens.,30,2
118,'Negate the statement: No kangaroos are lame.',All kangaroos are lame.,Some kangaroos are not lame.,No kangaroos are lame.,Some kangaroos are lame.,30,4
119,'Negate the statement: No mice are zombies.',No mice are zombies.,Some mice are not zombies.,Some mice are zombies.,All mice are zombies.,30,3
120,'Negate the statement: Some ponies are queens.',No ponies are queens.,Some ponies are queens.,All ponies are queens.,Some ponies are not queens.,30,1
121,'Negate the statement: All cats are weak.',Some cats are not weak.,Some cats are weak.,No cats are weak.,All cats are weak.,30,1
122,'Negate the statement: Some tulips are xenophobic.',No tulips are xenophobic.,Some tulips are not xenophobic.,Some tulips are xenophobic.,All tulips are xenophobic.,30,1
123,'Negate the statement: Some owls are furious.',Some owls are not furious.,Some owls are furious.,No owls are furious.,All owls are furious.,30,3
124,'Negate the statement: Some llamas are transient.',All llamas are transient.,No llamas are transient.,Some llamas are not transient.,Some llamas are transient.,30,2
125,'Negate the statement: Some violins are menacing.',All violins are menacing.,Some violins are not menacing.,Some violins are menacing.,No violins are menacing.,30,4
126,'Negate the statement: Some whales are furious.',Some whales are not furious.,All whales are furious.,No whales are furious.,Some whales are furious.,30,3
127,'Negate the statement: All owls are furious.',No owls are furious.,All owls are furious.,Some owls are furious.,Some owls are not furious.,30,4
128,'Negate the statement: Some kangaroos are xenophobic.',Some kangaroos are not xenophobic.,All kangaroos are xenophobic.,Some kangaroos are xenophobic.,No kangaroos are xenophobic.,30,4
129,'Negate the statement: No quokkas are zombies.',All quokkas are zombies.,Some quokkas are not zombies.,No quokkas are zombies.,Some quokkas are zombies.,30,4
130,'Negate the statement: Some insects are nice.',All insects are nice.,Some insects are nice.,No insects are nice.,Some insects are not nice.,30,3
131,'Negate the statement: All elephants are zombies.',All elephants are zombies.,Some elephants are zombies.,No elephants are zombies.,Some elephants are not zombies.,30,4
132,'Negate the statement: Some hawks are not pious.',All hawks are pious.,No hawks are pious.,Some hawks are pious.,Some hawks are not pious.,30,1
133,'Negate the statement: Some tulips are not transient.',Some tulips are transient.,All tulips are transient.,Some tulips are not transient.,No tulips are transient.,30,2
134,'Negate the statement: No ponies are killers.',Some ponies are killers.,No ponies are killers.,Some ponies are not killers.,All ponies are killers.,30,1
135,'Negate the statement: Some cats are not killers.',No cats are killers.,Some cats are killers.,Some cats are not killers.,All cats are killers.,30,4
136,'Negate the statement: Some owls are not menacing.',All owls are menacing.,No owls are menacing.,Some owls are not menacing.,Some owls are menacing.,30,1
137,'Negate the statement: Some quokkas are not yellow.',No quokkas are yellow.,All quokkas are yellow.,Some quokkas are not yellow.,Some quokkas are yellow.,30,2
138,'Negate the statement: No dogs are indigo.',Some dogs are not indigo.,No dogs are indigo.,Some dogs are indigo.,All dogs are indigo.,30,3
139,'Negate the statement: Some giraffes are not pious.',Some giraffes are pious.,No giraffes are pious.,Some giraffes are not pious.,All giraffes are pious.,30,4
140,'Negate the statement: No whales are umpires.',Some whales are not umpires.,Some whales are umpires.,All whales are umpires.,No whales are umpires.,30,2
141,'Negate the statement: All jaguars are dangerous.',No jaguars are dangerous.,All jaguars are dangerous.,Some jaguars are dangerous.,Some jaguars are not dangerous.,30,4
142,'Negate the statement: Some bugs are not weak.',Some bugs are weak.,Some bugs are not weak.,No bugs are weak.,All bugs are weak.,30,4
143,'Negate the statement: All ponies are weak.',All ponies are weak.,Some ponies are not weak.,No ponies are weak.,Some ponies are weak.,30,2
144,'Negate the statement: Some insects are not killers.',All insects are killers.,Some insects are killers.,Some insects are not killers.,No insects are killers.,30,1
145,'Negate the statement: Some elephants are not weak.',Some elephants are weak.,All elephants are weak.,Some elephants are not weak.,No elephants are weak.,30,2
146,'Negate the statement: Some xylophones are not green.',Some xylophones are not green.,Some xylophones are green.,No xylophones are green.,All xylophones are green.,30,4
147,'Negate the statement: Some giraffes are awesome.',Some giraffes are awesome.,All giraffes are awesome.,No giraffes are awesome.,Some giraffes are not awesome.,30,3
148,'Negate the statement: All whales are pious.',Some whales are pious.,All whales are pious.,Some whales are not pious.,No whales are pious.,30,3
149,'Negate the statement: All ponies are red.',Some ponies are red.,All ponies are red.,Some ponies are not red.,No ponies are red.,30,3
150,'Negate the statement: Some xylophones are not transient.',Some xylophones are not transient.,Some xylophones are transient.,No xylophones are transient.,All xylophones are transient.,30,4
151,'Negate the statement: All snakes are awesome.',No snakes are awesome.,Some snakes are awesome.,All snakes are awesome.,Some snakes are not awesome.,30,4
152,'Negate the statement: No jaguars are yellow.',Some jaguars are not yellow.,Some jaguars are yellow.,No jaguars are yellow.,All jaguars are yellow.,30,2
153,'Negate the statement: Some tulips are not xenophobic.',No tulips are xenophobic.,All tulips are xenophobic.,Some tulips are not xenophobic.,Some tulips are xenophobic.,30,2
154,'Negate the statement: No llamas are enigmatic.',No llamas are enigmatic.,All llamas are enigmatic.,Some llamas are enigmatic.,Some llamas are not enigmatic.,30,3
155,'Negate the statement: Some llamas are weak.',All llamas are weak.,Some llamas are weak.,Some llamas are not weak.,No llamas are weak.,30,4
156,'Negate the statement: All insects are nice.',No insects are nice.,All insects are nice.,Some insects are nice.,Some insects are not nice.,30,4
157,'Negate the statement: Some hawks are dangerous.',Some hawks are dangerous.,Some hawks are not dangerous.,No hawks are dangerous.,All hawks are dangerous.,30,3
158,'Negate the statement: Some cats are furious.',Some cats are furious.,No cats are furious.,All cats are furious.,Some cats are not furious.,30,2
159,'Negate the statement: Some hawks are not enigmatic.',No hawks are enigmatic.,Some hawks are enigmatic.,All hawks are enigmatic.,Some hawks are not enigmatic.,30,3
160,'Negate the statement: Some llamas are violent.',Some llamas are violent.,No llamas are violent.,All llamas are violent.,Some llamas are not violent.,30,2
161,'Negate the statement: No zebras are pious.',All zebras are pious.,Some zebras are not pious.,No zebras are pious.,Some zebras are pious.,30,4
162,'Negate the statement: Some zebras are not pious.',No zebras are pious.,Some zebras are pious.,All zebras are pious.,Some zebras are not pious.,30,3
163,'Negate the statement: All narwhals are menacing.',Some narwhals are menacing.,All narwhals are menacing.,No narwhals are menacing.,Some narwhals are not menacing.,30,4
164,'Negate the statement: Some llamas are curious.',Some llamas are not curious.,Some llamas are curious.,No llamas are curious.,All llamas are curious.,30,3
165,'Negate the statement: Some kangaroos are not umpires.',Some kangaroos are not umpires.,Some kangaroos are umpires.,All kangaroos are umpires.,No kangaroos are umpires.,30,3
166,'Negate the statement: All hawks are pious.',No hawks are pious.,Some hawks are not pious.,Some hawks are pious.,All hawks are pious.,30,2
167,'Negate the statement: No violins are awesome.',Some violins are not awesome.,All violins are awesome.,Some violins are awesome.,No violins are awesome.,30,3
168,'Negate the statement: Some snakes are red.',Some snakes are red.,Some snakes are not red.,All snakes are red.,No snakes are red.,30,4
169,'Negate the statement: No tulips are green.',Some tulips are not green.,Some tulips are green.,No tulips are green.,All tulips are green.,30,2
170,'Negate the statement: Some apples are not awesome.',Some apples are awesome.,Some apples are not awesome.,No apples are awesome.,All apples are awesome.,30,4
171,'Negate the statement: Some apples are not happy.',All apples are happy.,Some apples are not happy.,No apples are happy.,Some apples are happy.,30,1
172,'Negate the statement: All mice are queens.',No mice are queens.,Some mice are queens.,All mice are queens.,Some mice are not queens.,30,4
173,'Negate the statement: Some cats are curious.',All cats are curious.,Some cats are curious.,No cats are curious.,Some cats are not curious.,30,3
174,'Negate the statement: No owls are zombies.',Some owls are not zombies.,Some owls are zombies.,No owls are zombies.,All owls are zombies.,30,2
175,'Negate the statement: Some mice are awesome.',Some mice are awesome.,No mice are awesome.,Some mice are not awesome.,All mice are awesome.,30,2
176,'Negate the statement: Some flowers are not furious.',All flowers are furious.,No flowers are furious.,Some flowers are furious.,Some flowers are not furious.,30,1
177,'Negate the statement: All violins are awesome.',All violins are awesome.,Some violins are awesome.,Some violins are not awesome.,No violins are awesome.,30,3
178,'Negate the statement: Some snakes are xenophobic.',All snakes are xenophobic.,Some snakes are xenophobic.,No snakes are xenophobic.,Some snakes are not xenophobic.,30,3
179,'Negate the statement: No xylophones are red.',All xylophones are red.,Some xylophones are red.,Some xylophones are not red.,No xylophones are red.,30,2
180,'Negate the statement: Some zebras are enigmatic.',Some zebras are not enigmatic.,Some zebras are enigmatic.,No zebras are enigmatic.,All zebras are enigmatic.,30,3
181,'Negate the statement: Some hawks are happy.',Some hawks are not happy.,All hawks are happy.,Some hawks are happy.,No hawks are happy.,30,4
182,'Negate the statement: Some giraffes are not furious.',Some giraffes are furious.,Some giraffes are not furious.,No giraffes are furious.,All giraffes are furious.,30,4
183,'Negate the statement: Some llamas are not transient.',Some llamas are not transient.,All llamas are transient.,No llamas are transient.,Some llamas are transient.,30,2
184,'Negate the statement: Some xylophones are not dangerous.',Some xylophones are dangerous.,All xylophones are dangerous.,No xylophones are dangerous.,Some xylophones are not dangerous.,30,2
185,'Negate the statement: No jaguars are lame.',No jaguars are lame.,All jaguars are lame.,Some jaguars are not lame.,Some jaguars are lame.,30,4
186,'Negate the statement: Some snakes are queens.',Some snakes are queens.,Some snakes are not queens.,No snakes are queens.,All snakes are queens.,30,3
187,'Negate the statement: All jaguars are dangerous.',No jaguars are dangerous.,Some jaguars are not dangerous.,All jaguars are dangerous.,Some jaguars are dangerous.,30,2
188,'Negate the statement: Some narwhals are not furious.',No narwhals are furious.,All narwhals are furious.,Some narwhals are not furious.,Some narwhals are furious.,30,2
189,'Negate the statement: All flowers are red.',Some flowers are not red.,Some flowers are red.,No flowers are red.,All flowers are red.,30,1
190,'Negate the statement: All umbrellas are nice.',Some umbrellas are nice.,No umbrellas are nice.,Some umbrellas are not nice.,All umbrellas are nice.,30,3
191,'Negate the statement: Some umbrellas are not lame.',Some umbrellas are lame.,All umbrellas are lame.,No umbrellas are lame.,Some umbrellas are not lame.,30,2
192,'Negate the statement: Some cats are transient.',All cats are transient.,No cats are transient.,Some cats are not transient.,Some cats are transient.,30,2
193,'Negate the statement: Some whales are furious.',All whales are furious.,No whales are furious.,Some whales are furious.,Some whales are not furious.,30,2
194,'Negate the statement: No jaguars are weak.',All jaguars are weak.,Some jaguars are weak.,Some jaguars are not weak.,No jaguars are weak.,30,2
195,'Negate the statement: No umbrellas are red.',Some umbrellas are red.,All umbrellas are red.,Some umbrellas are not red.,No umbrellas are red.,30,1
196,'Negate the statement: Some whales are sly.',Some whales are sly.,No whales are sly.,All whales are sly.,Some whales are not sly.,30,2
197,'Negate the statement: All elephants are furious.',No elephants are furious.,Some elephants are furious.,All elephants are furious.,Some elephants are not furious.,30,4
198,'Negate the statement: All bugs are transient.',No bugs are transient.,All bugs are transient.,Some bugs are transient.,Some bugs are not transient.,30,4
199,'Negate the statement: Some snakes are not curious.',No snakes are curious.,Some snakes are not curious.,Some snakes are curious.,All snakes are curious.,30,4
200,'Negate the statement: Some umbrellas are queens.',Some umbrellas are queens.,No umbrellas are queens.,Some umbrellas are not queens.,All umbrellas are queens.,30,2
201,'Negate the statement: Some insects are red.',No insects are red.,Some insects are red.,All insects are red.,Some insects are not red.,30,1
202,'Negate the statement: No bugs are zombies.',Some bugs are zombies.,All bugs are zombies.,Some bugs are not zombies.,No bugs are zombies.,30,1
203,'Negate the statement: Some mice are menacing.',All mice are menacing.,No mice are menacing.,Some mice are menacing.,Some mice are not menacing.,30,2
204,'Negate the statement: Some kangaroos are not killers.',Some kangaroos are killers.,No kangaroos are killers.,Some kangaroos are not killers.,All kangaroos are killers.,30,4
205,'Negate the statement: Some insects are not happy.',Some insects are not happy.,No insects are happy.,Some insects are happy.,All insects are happy.,30,4
206,'Negate the statement: No umbrellas are pious.',All umbrellas are pious.,Some umbrellas are not pious.,No umbrellas are pious.,Some umbrellas are pious.,30,4
207,'Negate the statement: Some zebras are red.',All zebras are red.,Some zebras are red.,No zebras are red.,Some zebras are not red.,30,3
208,'Negate the statement: Some bugs are enigmatic.',No bugs are enigmatic.,Some bugs are not enigmatic.,Some bugs are enigmatic.,All bugs are enigmatic.,30,1
209,'Negate the statement: Some llamas are weak.',No llamas are weak.,Some llamas are weak.,All llamas are weak.,Some llamas are not weak.,30,1
210,'Negate the statement: Some hawks are curious.',Some hawks are not curious.,All hawks are curious.,No hawks are curious.,Some hawks are curious.,30,3
