"Blooket
Import Template",,,,,,,
74,"Consider the logical statement (p) defined below.

 p: Set L is a subset of set T.

Which option represents ~p, the negation of p?",The intersection of set L and set T is not empty.,Set L and set T are disjoint.,Set L is not a subset of set T.,Set L is a subset of set T.,30,3
75,"Consider the logical statement (p) defined below.

 p: Set Y is a subset of set Z.

Which option represents ~p, the negation of p?",Set Y and set Z are disjoint.,The intersection of set Y and set Z is not empty.,Set Y is a subset of set Z.,Set Y is not a subset of set Z.,30,4
76,"Consider the logical statement (p) defined below.

 p: Set V is a subset of set N.

Which option represents ~p, the negation of p?",Set V and set N are disjoint.,Set V is a subset of set N.,Set V is not a subset of set N.,The intersection of set V and set N is not empty.,30,3
77,"Consider the logical statement (p) defined below.

 p: Set M and set J are disjoint.

Which option represents ~p, the negation of p?",The intersection of set M and set J is not empty.,Set M and set J are disjoint.,Set M is a subset of set J.,Set M is not a subset of set J.,30,1
78,"Consider the logical statement (p) defined below.

 p: The intersection of set B and set U is not empty.

Which option represents ~p, the negation of p?",Set B is not a subset of set U.,The intersection of set B and set U is not empty.,Set B and set U are disjoint.,Set B is a subset of set U.,30,3
79,"Consider the logical statement (p) defined below.

 p: Set Y is not a subset of set V.

Which option represents ~p, the negation of p?",Set Y and set V are disjoint.,Set Y is not a subset of set V.,Set Y is a subset of set V.,The intersection of set Y and set V is not empty.,30,3
80,"Consider the logical statement (p) defined below.

 p: Set O is a subset of set C.

Which option represents ~p, the negation of p?",Set O is not a subset of set C.,The intersection of set O and set C is not empty.,Set O and set C are disjoint.,Set O is a subset of set C.,30,1
81,"Consider the logical statement (p) defined below.

 p: Set J and set D are disjoint.

Which option represents ~p, the negation of p?",Set J is not a subset of set D.,The intersection of set J and set D is not empty.,Set J and set D are disjoint.,Set J is a subset of set D.,30,2
82,"Consider the logical statement (p) defined below.

 p: Set D is a subset of set V.

Which option represents ~p, the negation of p?",Set D is not a subset of set V.,The intersection of set D and set V is not empty.,Set D is a subset of set V.,Set D and set V are disjoint.,30,1
83,"Consider the logical statement (p) defined below.

 p: Set K is a subset of set G.

Which option represents ~p, the negation of p?",Set K is not a subset of set G.,The intersection of set K and set G is not empty.,Set K and set G are disjoint.,Set K is a subset of set G.,30,1
84,"Consider the logical statement (p) defined below.

 p: Set V and set U are disjoint.

Which option represents ~p, the negation of p?",The intersection of set V and set U is not empty.,Set V and set U are disjoint.,Set V is not a subset of set U.,Set V is a subset of set U.,30,1
85,"Consider the logical statement (p) defined below.

 p: Set Q and set I are disjoint.

Which option represents ~p, the negation of p?",Set Q and set I are disjoint.,The intersection of set Q and set I is not empty.,Set Q is a subset of set I.,Set Q is not a subset of set I.,30,2
86,"Consider the logical statement (p) defined below.

 p: Set N and set F are disjoint.

Which option represents ~p, the negation of p?",Set N is not a subset of set F.,The intersection of set N and set F is not empty.,Set N is a subset of set F.,Set N and set F are disjoint.,30,2
87,"Consider the logical statement (p) defined below.

 p: Set M and set X are disjoint.

Which option represents ~p, the negation of p?",Set M is not a subset of set X.,The intersection of set M and set X is not empty.,Set M and set X are disjoint.,Set M is a subset of set X.,30,2
88,"Consider the logical statement (p) defined below.

 p: Set D and set C are disjoint.

Which option represents ~p, the negation of p?",The intersection of set D and set C is not empty.,Set D and set C are disjoint.,Set D is a subset of set C.,Set D is not a subset of set C.,30,1
89,"Consider the logical statement (p) defined below.

 p: Set U is not a subset of set C.

Which option represents ~p, the negation of p?",The intersection of set U and set C is not empty.,Set U and set C are disjoint.,Set U is not a subset of set C.,Set U is a subset of set C.,30,4
90,"Consider the logical statement (p) defined below.

 p: Set Z is not a subset of set G.

Which option represents ~p, the negation of p?",Set Z and set G are disjoint.,Set Z is not a subset of set G.,Set Z is a subset of set G.,The intersection of set Z and set G is not empty.,30,3
91,"Consider the logical statement (p) defined below.

 p: Set A is not a subset of set K.

Which option represents ~p, the negation of p?",Set A is a subset of set K.,The intersection of set A and set K is not empty.,Set A is not a subset of set K.,Set A and set K are disjoint.,30,1
92,"Consider the logical statement (p) defined below.

 p: Set X and set R are disjoint.

Which option represents ~p, the negation of p?",Set X is not a subset of set R.,Set X and set R are disjoint.,Set X is a subset of set R.,The intersection of set X and set R is not empty.,30,4
93,"Consider the logical statement (p) defined below.

 p: Set S and set X are disjoint.

Which option represents ~p, the negation of p?",Set S is not a subset of set X.,The intersection of set S and set X is not empty.,Set S and set X are disjoint.,Set S is a subset of set X.,30,2
94,"Consider the logical statement (p) defined below.

 p: Set V and set J are disjoint.

Which option represents ~p, the negation of p?",Set V is a subset of set J.,Set V is not a subset of set J.,The intersection of set V and set J is not empty.,Set V and set J are disjoint.,30,3
95,"Consider the logical statement (p) defined below.

 p: Set X is not a subset of set I.

Which option represents ~p, the negation of p?",The intersection of set X and set I is not empty.,Set X is a subset of set I.,Set X is not a subset of set I.,Set X and set I are disjoint.,30,2
96,"Consider the logical statement (p) defined below.

 p: Set F is not a subset of set D.

Which option represents ~p, the negation of p?",Set F is a subset of set D.,Set F is not a subset of set D.,Set F and set D are disjoint.,The intersection of set F and set D is not empty.,30,1
97,"Consider the logical statement (p) defined below.

 p: Set L and set F are disjoint.

Which option represents ~p, the negation of p?",Set L and set F are disjoint.,Set L is not a subset of set F.,Set L is a subset of set F.,The intersection of set L and set F is not empty.,30,4
98,"Consider the logical statement (p) defined below.

 p: Set C is not a subset of set G.

Which option represents ~p, the negation of p?",Set C is not a subset of set G.,The intersection of set C and set G is not empty.,Set C and set G are disjoint.,Set C is a subset of set G.,30,4
99,"Consider the logical statement (p) defined below.

 p: Set L is a subset of set X.

Which option represents ~p, the negation of p?",Set L is a subset of set X.,Set L is not a subset of set X.,The intersection of set L and set X is not empty.,Set L and set X are disjoint.,30,2
100,"Consider the logical statement (p) defined below.

 p: Set T and set U are disjoint.

Which option represents ~p, the negation of p?",Set T and set U are disjoint.,Set T is a subset of set U.,Set T is not a subset of set U.,The intersection of set T and set U is not empty.,30,4
101,"Consider the logical statement (p) defined below.

 p: Set Y and set Q are disjoint.

Which option represents ~p, the negation of p?",Set Y and set Q are disjoint.,The intersection of set Y and set Q is not empty.,Set Y is a subset of set Q.,Set Y is not a subset of set Q.,30,2
102,"Consider the logical statement (p) defined below.

 p: Set E and set O are disjoint.

Which option represents ~p, the negation of p?",Set E is a subset of set O.,Set E is not a subset of set O.,Set E and set O are disjoint.,The intersection of set E and set O is not empty.,30,4
103,"Consider the logical statement (p) defined below.

 p: The intersection of set R and set I is not empty.

Which option represents ~p, the negation of p?",Set R and set I are disjoint.,The intersection of set R and set I is not empty.,Set R is a subset of set I.,Set R is not a subset of set I.,30,1
104,"Consider the logical statement (p) defined below.

 p: The intersection of set P and set U is not empty.

Which option represents ~p, the negation of p?",The intersection of set P and set U is not empty.,Set P is a subset of set U.,Set P is not a subset of set U.,Set P and set U are disjoint.,30,4
105,"Consider the logical statement (p) defined below.

 p: Set K and set W are disjoint.

Which option represents ~p, the negation of p?",Set K is not a subset of set W.,The intersection of set K and set W is not empty.,Set K is a subset of set W.,Set K and set W are disjoint.,30,2
106,"Consider the logical statement (p) defined below.

 p: Set C is a subset of set X.

Which option represents ~p, the negation of p?",The intersection of set C and set X is not empty.,Set C is a subset of set X.,Set C is not a subset of set X.,Set C and set X are disjoint.,30,3
107,"Consider the logical statement (p) defined below.

 p: The intersection of set H and set N is not empty.

Which option represents ~p, the negation of p?",Set H and set N are disjoint.,Set H is not a subset of set N.,The intersection of set H and set N is not empty.,Set H is a subset of set N.,30,1
108,"Consider the logical statement (p) defined below.

 p: Set B and set D are disjoint.

Which option represents ~p, the negation of p?",Set B and set D are disjoint.,Set B is a subset of set D.,Set B is not a subset of set D.,The intersection of set B and set D is not empty.,30,4
109,"Consider the logical statement (p) defined below.

 p: Set N and set U are disjoint.

Which option represents ~p, the negation of p?",The intersection of set N and set U is not empty.,Set N is not a subset of set U.,Set N is a subset of set U.,Set N and set U are disjoint.,30,1
110,"Consider the logical statement (p) defined below.

 p: Set D is not a subset of set W.

Which option represents ~p, the negation of p?",The intersection of set D and set W is not empty.,Set D is not a subset of set W.,Set D is a subset of set W.,Set D and set W are disjoint.,30,3
111,"Consider the logical statement (p) defined below.

 p: The intersection of set A and set M is not empty.

Which option represents ~p, the negation of p?",The intersection of set A and set M is not empty.,Set A is a subset of set M.,Set A and set M are disjoint.,Set A is not a subset of set M.,30,3
112,"Consider the logical statement (p) defined below.

 p: Set B is not a subset of set M.

Which option represents ~p, the negation of p?",Set B is not a subset of set M.,The intersection of set B and set M is not empty.,Set B and set M are disjoint.,Set B is a subset of set M.,30,4
113,"Consider the logical statement (p) defined below.

 p: The intersection of set G and set Z is not empty.

Which option represents ~p, the negation of p?",Set G and set Z are disjoint.,The intersection of set G and set Z is not empty.,Set G is not a subset of set Z.,Set G is a subset of set Z.,30,1
114,"Consider the logical statement (p) defined below.

 p: Set E is not a subset of set A.

Which option represents ~p, the negation of p?",The intersection of set E and set A is not empty.,Set E is a subset of set A.,Set E is not a subset of set A.,Set E and set A are disjoint.,30,2
115,"Consider the logical statement (p) defined below.

 p: Set F is a subset of set Y.

Which option represents ~p, the negation of p?",Set F is not a subset of set Y.,Set F and set Y are disjoint.,Set F is a subset of set Y.,The intersection of set F and set Y is not empty.,30,1
116,"Consider the logical statement (p) defined below.

 p: The intersection of set S and set J is not empty.

Which option represents ~p, the negation of p?",Set S and set J are disjoint.,The intersection of set S and set J is not empty.,Set S is not a subset of set J.,Set S is a subset of set J.,30,1
117,"Consider the logical statement (p) defined below.

 p: Set U is not a subset of set S.

Which option represents ~p, the negation of p?",Set U is a subset of set S.,Set U is not a subset of set S.,Set U and set S are disjoint.,The intersection of set U and set S is not empty.,30,1
118,"Consider the logical statement (p) defined below.

 p: The intersection of set Y and set U is not empty.

Which option represents ~p, the negation of p?",Set Y is not a subset of set U.,Set Y and set U are disjoint.,Set Y is a subset of set U.,The intersection of set Y and set U is not empty.,30,2
119,"Consider the logical statement (p) defined below.

 p: Set S and set I are disjoint.

Which option represents ~p, the negation of p?",Set S and set I are disjoint.,Set S is not a subset of set I.,The intersection of set S and set I is not empty.,Set S is a subset of set I.,30,3
120,"Consider the logical statement (p) defined below.

 p: Set F and set R are disjoint.

Which option represents ~p, the negation of p?",The intersection of set F and set R is not empty.,Set F is not a subset of set R.,Set F is a subset of set R.,Set F and set R are disjoint.,30,1
121,"Consider the logical statement (p) defined below.

 p: Set A is a subset of set V.

Which option represents ~p, the negation of p?",Set A is not a subset of set V.,The intersection of set A and set V is not empty.,Set A and set V are disjoint.,Set A is a subset of set V.,30,1
122,"Consider the logical statement (p) defined below.

 p: Set M and set W are disjoint.

Which option represents ~p, the negation of p?",Set M is not a subset of set W.,Set M and set W are disjoint.,The intersection of set M and set W is not empty.,Set M is a subset of set W.,30,3
123,"Consider the logical statement (p) defined below.

 p: Set E is a subset of set C.

Which option represents ~p, the negation of p?",Set E is not a subset of set C.,Set E is a subset of set C.,Set E and set C are disjoint.,The intersection of set E and set C is not empty.,30,1
124,"Consider the logical statement (p) defined below.

 p: The intersection of set V and set L is not empty.

Which option represents ~p, the negation of p?",Set V and set L are disjoint.,The intersection of set V and set L is not empty.,Set V is not a subset of set L.,Set V is a subset of set L.,30,1
125,"Consider the logical statement (p) defined below.

 p: The intersection of set F and set Q is not empty.

Which option represents ~p, the negation of p?",Set F is not a subset of set Q.,Set F is a subset of set Q.,Set F and set Q are disjoint.,The intersection of set F and set Q is not empty.,30,3
